DateTime,Epicenter,Lat,Long,Magnitude
2008-02-14 11:00:00,Taplejung,27.8,86.53,4.1
2008-02-16 11:00:00,Siraha,26.8,86.25,4.2
2008-03-02 11:00:00,Humla,29.69,81.76,4.4
2008-03-17 11:00:00,Bajhang-Bajura border,29.76,81.53,4.6
2008-05-08 11:00:00,Taplejung,27.5,87.52,4.2
2008-05-20 11:00:00,Baglung,28.33,83.33,4.3
2008-06-02 11:00:00,Sindhupalchowk,27.8,85.91,4.1
2008-06-15 11:00:00,Darchula,29.73,80.96,5.0
2008-06-20 11:00:00,Sindhupalchowk,27.98,85.73,4.8
2008-08-02 11:00:00,Bajura,28.18,85.29,4.4
2008-09-10 11:00:00,Baglung,28.4,83.01,4.1
2008-10-07 11:00:00,Taplejung,27.47,87.71,4.5
2008-12-01 11:00:00,Rasuwa,28.18,85.29,4.8
2008-12-02 11:00:00,Taplejung,27.3,87.99,4.0
2008-12-02 11:00:00,Taplejung,27.29,87.92,4.3
2008-12-02 11:00:00,Taplejung,27.34,87.92,4.1
2008-12-02 11:00:00,Taplejung,27.3,88.03,4.0
2008-12-02 11:00:00,Taplejung,27.32,87.99,5.4
2008-12-08 11:00:00,Humla,30.15,81.86,6.0
2008-12-19 11:00:00,Humla,30.1,81.91,4.4
2008-12-23 11:00:00,Lamjung,28.19,84.39,4.4
2008-12-26 11:00:00,Humla,30.09,81.9,4.5
2008-12-29 11:00:00,Humla,30.13,82.03,4.0
2009-01-10 11:00:00,Taplejung,27.9,88.04,4.2
2009-01-23 11:00:00,Achham,29.05,81.4,4.2
2009-03-08 11:00:00,Taplejung,27.41,87.8,4.5
2009-03-12 11:00:00,Lamjung,28.43,84.42,4.1
2009-04-13 11:00:00,Lamjung,28.3,84.55,4.0
2009-04-13 11:00:00,Lamjung,28.25,84.54,4.3
2009-05-14 11:00:00,Sankhuwasava,27.43,87.35,4.2
2009-05-14 11:00:00,Sankhuwasava,27.48,87.36,4.6
2009-07-12 11:00:00,Dolakha,27.71,86.36,4.3
2009-08-02 11:00:00,Rasuwa,28.12,85.18,4.0
2009-09-26 11:00:00,Humla,29.81,82.05,4.3
2009-10-29 11:00:00,Rukum,28.73,83.11,4.1
2009-11-01 11:00:00,Humla,30.1,81.81,4.5
2009-11-02 11:00:00,Taplejung,27.87,87.94,4.0
2009-11-08 11:00:00,Humla,30.11,81.91,4.3
2009-11-22 11:00:00,Jajarkot,29.02,82.15,4.5
2009-12-15 11:00:00,Lamjung,28.28,84.4,4.1
2009-12-16 11:00:00,Bajura,29.6,81.51,4.6
2010-01-18 11:00:00,Kaski,28.37,83.97,4.1
2010-02-17 11:00:00,Dhanusa,26.79,86.08,4.1
2010-02-25 11:00:00,Bajhang,29.78,81.52,4.6
2010-02-28 11:00:00,Baglung,28.4,81.52,4.1
2010-03-01 11:00:00,Bajura,29.76,83.11,4.3
2010-04-13 11:00:00,Bajura,29.37,81.34,4.5
